CUSTOMER_ID,STATUS,SECTOR_TYPE,GOOD_VALUE,ADVANCE_VALUE,LOAN_VALUE,INSTALLMENT_VALUE,NUMBER_INSTALLMENT,GAPR,NIR,REFINANCED,FROM_REFINANCE
1295,CONCLUDED REGULARLY,FL,229.0,0.0,249.0,24.9,10,20.301,0.0,N,N
1295,CONCLUDED REGULARLY,FL,623.0,0.0,623.0,62.3,10,3.42062,0.0,N,N
1295,CONCLUDED REGULARLY,PL,6500.0,0.0,6961.5,179.0,48,12.98334,10.72639,N,N
1295,CONCLUDED REGULARLY,FL,399.0,0.0,399.0,66.5,6,18.09532,0.0,N,N
1296,CONCLUDED REGULARLY,FL,580.0,0.0,580.0,58.0,10,0.0,0.0,N,N
1296,EARLY EXPIRED,CL,9000.0,0.0,9000.0,214.0,48,7.34529,6.63611,Y,N
1296,EARLY EXPIRED,PL,7000.0,0.0,7757.4,185.58,48,7.17551,6.94981,Y,Y
1298,CONCLUDED REGULARLY,CL,14800.0,2800.0,12000.0,333.33,36,0.0,0.0,N,N
1300,CONCLUDED REGULARLY,CL,3200.0,700.0,2866.24,129.5,24,8.191,7.899,N,N
1300,CONCLUDED REGULARLY,FL,7000.0,0.0,7000.0,253.0,30,6.82184,5.967,N,N
1308,CONCLUDED REGULARLY,FL,450.0,0.0,450.0,75.0,6,0.0,0.0,N,N
1308,CONCLUDED REGULARLY,FL,720.0,0.0,766.8,42.6,18,17.01565,0.0,N,N
1319,CONCLUDED REGULARLY,CL,12630.0,4630.0,8349.51,264.0,36,10.125,8.61,N,N
1319,CONCLUDED REGULARLY,FL,518.99,0.0,518.99,51.9,10,0.00418,0.00418,N,N
1321,CONCLUDED REGULARLY,FL,251.5,0.0,251.5,25.15,10,10.769,10.271,N,N
1321,CONCLUDED REGULARLY,FL,169.0,0.0,169.0,21.13,8,0.06305,0.06303,N,N
1338,CONCLUDED REGULARLY,FL,1800.0,0.0,1800.0,169.93,12,12.788,12.094,N,N
1338,CONCLUDED REGULARLY,FL,1645.0,0.0,1645.0,45.69,36,0.78344,0.0,N,N
1338,CONCLUDED REGULARLY,FL,599.0,0.0,599.0,27.37,24,16.51662,9.0176,N,N
1338,CONCLUDED REGULARLY,FL,517.0,0.0,517.0,51.7,10,0.0,0.0,N,N
1338,CONCLUDED REGULARLY,FL,570.0,0.0,570.0,57.0,10,6.40005,0.0,N,N
1338,CONCLUDED REGULARLY,FL,788.0,0.0,843.16,70.26,12,16.70982,0.0,N,N
1338,CONCLUDED REGULARLY,FL,689.0,0.0,689.0,57.42,12,3.82561,0.00929,N,N
1355,CONCLUDED REGULARLY,FL,604.0,0.0,604.0,30.2,20,0.0,0.0,N,N
1372,CONCLUDED REGULARLY,CL,6470.0,1470.0,5150.0,136.0,48,10.419,9.952,N,N
1372,EARLY EXPIRED,PL,19000.0,0.0,20271.06,374.55,72,10.36534,9.90324,N,N
1374,CONCLUDED REGULARLY,CL,5500.0,500.0,5150.0,173.0,36,10.398,9.933,N,N
1374,CONCLUDED REGULARLY,FL,3100.0,0.0,3130.0,86.94,36,0.624,0.0,N,N
1377,CONCLUDED REGULARLY,FL,3026.79,926.79,2121.0,353.5,6,3.475,0.0,N,N
1377,CONCLUDED REGULARLY,CL,24400.0,2400.0,23089.78,221.19,24,6.219,5.86,N,N
1377,EARLY EXPIRED,PL,13000.0,0.0,13816.93,284.0,60,10.09656,8.57872,N,N
1378,CONCLUDED REGULARLY,FL,979.89,0.0,979.89,81.66,12,0.00564,0.00564,N,N
